"﻿""Case""",ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP148070,ME/C Case ME2025-03761,07/12/2025,40,60,Chicago,Cook,Illinois,Male,"Hispanic / Latino, Asian, American Indian / Alaska Native",11/19/2025
UP149649,ME/C Case 25-0657,06/13/2025,,,Kankakee,Kankakee,Illinois,Male,"White / Caucasian, Hispanic / Latino, Asian, Uncertain",10/07/2025
UP144839,ME/C Case ME2025-02908,05/29/2025,20,35,Chicago,Cook,Illinois,Male,Black / African American,08/26/2025
UP142637,ME/C Case 250405-616SCC,04/05/2025,,,East St. Louis,St. Clair,Illinois,Male,Uncertain,10/01/2025
UP141408,ME/C Case ME2025-01651,03/19/2025,33,55,Chicago,Cook,Illinois,Female,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native",11/06/2025
UP143615,ME/C Case ME2025-01142,02/20/2025,,,Chicago,Cook,Illinois,Male,Black / African American,08/18/2025
UP134667,ME/C Case 241127-491-SCC,11/25/2024,45,70,East St. Louis,St. Clair,Illinois,Male,White / Caucasian,02/19/2025
UP131435,ME/C Case ME2024-05586,10/10/2024,,,Chicago,Cook,Illinois,Male,"Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native",09/26/2025
UP131092,ME/C Case ME2024-05497,10/06/2024,45,60,Chicago,Cook,Illinois,Male,"Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native",08/29/2025
UP127927,ME/C Case ME2024-04352,08/08/2024,35,50,Chicago,Cook,Illinois,Female,"Hispanic / Latino, Asian",01/07/2025
UP125425,ME/C Case ME2024-03318,06/20/2024,45,60,Chicago,Cook,Illinois,Male,"Hispanic / Latino, Asian",12/16/2024
UP120552,ME/C Case ME2024-01962,04/10/2024,40,55,Chicago,Cook,Illinois,Male,"White / Caucasian, Hispanic / Latino",05/15/2025
UP123528,ME/C Case ME2024-01152,02/28/2024,,,Chicago,Cook,Illinois,Male,"White / Caucasian, Hispanic / Latino",06/12/2025
UP120276,ME/C Case ME2024-00674,02/02/2024,,,Chicago Heights,Cook,Illinois,Male,White / Caucasian,06/12/2025
UP112279,ME/C Case ME2023-06532,11/02/2023,40,55,Chicago,Cook,Illinois,Male,"Hispanic / Latino, Asian, American Indian / Alaska Native",07/16/2025
UP108220,ME/C Case ME2023-05226,08/31/2023,,,Chicago,Cook,Illinois,Male,Uncertain,09/10/2025
UP106821,ME/C Case ME2023-04518,07/28/2023,,,Chicago,Cook,Illinois,Male,Uncertain,07/01/2025
UP108445,ME/C Case ME2023-03939,06/30/2023,50,60,Chicago,Cook,Illinois,Male,Black / African American,06/12/2025
UP103384,ME/C Case ME2023-02337,04/18/2023,,,Chicago,Cook,Illinois,Male,Uncertain,10/20/2025
UP101280,ME/C Case ME2023-01258,02/28/2023,40,60,Chicago,Cook,Illinois,Female,"White / Caucasian, Hispanic / Latino, Asian, Uncertain",09/30/2025
UP99513,ME/C Case ME2022-10385,12/22/2022,,,Palos Heights,Cook,Illinois,Unsure,Uncertain,10/24/2024
UP99504,ME/C Case ME2022-09725,12/02/2022,,,River Forest,Cook,Illinois,Unsure,Uncertain,08/13/2024
UP97269,ME/C Case ME2022-07496,08/23/2022,45,60,Chicago,Cook,Illinois,Male,Hispanic / Latino,06/12/2025
UP97267,ME/C Case ME2022-07185,08/08/2022,45,65,Robbins,Cook,Illinois,Male,"Black / African American, Hispanic / Latino",08/18/2025
UP93211,ME/C Case 2022-5189,06/26/2022,25,45,Merrimac,Monroe,Illinois,Male,Hispanic / Latino,07/27/2022
UP95098,ME/C Case 22-1160-C,05/19/2022,,,Springfield,Sangamon,Illinois,Unsure,Uncertain,06/10/2025
UP89918,ME/C Case ME2022-03598,02/27/2022,40,60,Palos Heights,Cook,Illinois,Male,White / Caucasian,06/12/2025
UP99601,ME/C Case ME2022-01231,01/15/2022,,,Chicago,Cook,Illinois,Male,White / Caucasian,11/13/2025
UP88646,ME/C Case ME2021-11358,12/07/2021,,,Chicago,,Illinois,Male,"White / Caucasian, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander",04/22/2025
UP84418,ME/C Case ME2021-05829,06/10/2021,40,60,Chicago,Cook,Illinois,Male,Black / African American,07/14/2025
UP79964,ME/C Case ME2021-02936,03/12/2021,35,50,,Cook,Illinois,Male,"White / Caucasian, Hispanic / Latino, Asian",06/23/2025
UP80363,ME/C Case ME2020-12225,11/07/2020,40,60,Maywood,Cook,Illinois,Male,Black / African American,11/13/2024
UP77326,ME/C Case M20-305,09/09/2020,,,Wheaton,DuPage,Illinois,Female,Uncertain,01/26/2021
UP77332,ME/C Case M20-314 / M20-315,09/09/2020,,,Wheaton,DuPage,Illinois,Unsure,Uncertain,01/26/2021
UP77329,ME/C Case M20-307 / M20-308,09/09/2020,,,Wheaton,DuPage,Illinois,Unsure,Uncertain,01/26/2021
UP99870,ME/C Case ME2020-08413,06/29/2020,,,Chicago,Cook,Illinois,Unsure,Uncertain,09/25/2023
UP71787,ME/C Case ME2020-08338,06/27/2020,18,30,Matteson,Cook,Illinois,Male,"Black / African American, Hispanic / Latino, Uncertain",06/12/2025
UP71363,ME/C Case ME2020-07719,06/13/2020,35,55,Harvey,Cook,Illinois,Male,White / Caucasian,03/05/2025
UP71367,ME/C Case 2020-4971,06/04/2020,55,75,Washington Park,St. Clair,Illinois,Male,Black / African American,12/20/2021
UP74401,ME/C Case 20F020111,02/29/2020,40,60,Savanna,Carroll,Illinois,Male,"White / Caucasian, Hispanic / Latino, Uncertain",08/08/2023
UP60200,ME/C Case ME2019-03796,08/15/2019,40,55,Chicago,Cook,Illinois,Male,Black / African American,10/23/2024
UP59122,ME/C Case 190712-326SCC,07/12/2019,55,75,East St. Louis,St. Clair,Illinois,Male,Black / African American,05/19/2021
UP60949,ME/C Case ME2019-02219,05/15/2019,,,Chicago,Cook,Illinois,Male,Uncertain,09/25/2023
UP58274,ME/C Case ME2019-02197,05/14/2019,35,50,Chicago,Cook,Illinois,Male,Black / African American,10/23/2024
UP58591,ME/C Case ME2019-02126,05/05/2019,,,Palatine,Cook,Illinois,Male,Uncertain,08/17/2025
UP58890,ME/C Case ME2019-01638,04/10/2019,,,Chicago,Cook,Illinois,Male,Black / African American,08/20/2025
UP54761,ME/C Case ME2018-05957,12/18/2018,40,60,Lemont,Cook,Illinois,Male,"White / Caucasian, Hispanic / Latino",04/08/2024
UP53660,ME/C Case ME2018-05022,10/22/2018,,,Chicago,Cook,Illinois,Male,White / Caucasian,08/22/2024
UP51610,ME/C Case ME2018-03448,07/23/2018,18,45,Chicago,Cook,Illinois,Male,Asian,08/27/2024
