"﻿""Case""",ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP141409,ME/C Case 2025-3914,03/06/2025,,,Plymouth,Plymouth,Massachusetts,Male,Uncertain,10/01/2025
UP137955,ME/C Case 2024-16699,11/30/2024,,,Newbury,Essex,Massachusetts,Unsure,Uncertain,07/21/2025
UP124233,ME/C Case 2024-7559,05/25/2024,15,30,Chatham,Barnstable,Massachusetts,,"White / Caucasian, Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Other, Uncertain",07/21/2025
UP123804,ME/C Case 2024-7301,05/20/2024,30,80,South Boston,Suffolk,Massachusetts,Male,"Other, Uncertain",08/06/2025
UP134472,ME/C Case 2024-950 & 2024-3861,01/17/2024,20,60,Holyoke,Hampden,Massachusetts,Male,"White / Caucasian, Black / African American",08/18/2025
UP116479,ME/C Case 2023-15578,11/09/2023,,,Rochester,Plymouth,Massachusetts,Female,White / Caucasian,07/21/2025
UP113405,ME/C Case 2021-13567,09/29/2023,,,Lawrence,Essex,Massachusetts,Unsure,Uncertain,01/16/2025
UP109374,ME/C Case 2023-6069,04/27/2023,,,Rochester,Plymouth,Massachusetts,Female,White / Caucasian,07/21/2025
UP108326,ME/C Case 2023-5317,04/11/2023,0,1,Revere,Suffolk,Massachusetts,Female,"White / Caucasian, Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Other, Uncertain",07/25/2025
UP102093,ME/C Case 2023-2390,02/13/2023,,,Nantucket,Nantucket,Massachusetts,Male,,07/20/2024
UP100977,ME/C Case 2022-14147,10/06/2022,,,Chelsea,Suffolk,Massachusetts,Male,Hispanic / Latino,06/05/2025
UP96135,ME/C Case 2022-8404,06/10/2022,71,71,Chelsea,Suffolk,Massachusetts,Male,White / Caucasian,12/05/2024
UP105477,ME/C Case 2022-928,01/16/2022,,,Truro,Barnstable,Massachusetts,Male,Uncertain,04/04/2025
UP89837,ME/C Case 2021-17948,12/22/2021,49,49,Boston,Suffolk,Massachusetts,Male,Black / African American,05/20/2022
UP93566,ME/C Case 2021-17797,12/20/2021,,,Saugus,Essex,Massachusetts,Male,White / Caucasian,06/05/2025
UP80161,ME/C Case 2021-5949,04/21/2021,,,Lowell,Middlesex,Massachusetts,Male,"White / Caucasian, Other",07/21/2025
UP77373,ME/C Case 2021-1290,01/22/2021,,,New Bedford,Bristol,Massachusetts,Unsure,Uncertain,07/21/2025
UP77229,ME/C Case 2021-0602,01/11/2021,,,Dartmouth,Bristol,Massachusetts,Male,Uncertain,01/16/2025
UP69527,ME/C Case 2020-6170,05/01/2020,,,Marlborough,Middlesex,Massachusetts,Male,White / Caucasian,11/21/2024
UP61560,ME/C Case 2019-12489,10/01/2019,,,Sudbury,Middlesex,Massachusetts,Female,White / Caucasian,10/21/2024
UP152449,ME/C Case 2019-9478,07/27/2019,,,Fall River,Bristol,Massachusetts,Male,White / Caucasian,11/23/2025
UP58873,ME/C Case 2019-7161,05/26/2019,,,Westport,Bristol,Massachusetts,Unsure,Uncertain,10/04/2024
UP61532,ME/C Case 2019-6412,05/18/2019,,,Boston,Suffolk,Massachusetts,Male,Uncertain,01/16/2025
UP57280,ME/C Case 2019-5940,05/07/2019,,,Ipswich,Essex,Massachusetts,Unsure,Uncertain,02/13/2024
UP56458,ME/C Case 2019-4054,03/28/2019,,,Medford,Middlesex,Massachusetts,Unsure,Uncertain,07/21/2025
UP56455,ME/C Case 2019-3764,03/21/2019,14,80,Cape Cod Bay,Barnstable,Massachusetts,Male,Uncertain,04/04/2025
UP57694,ME/C Case 2019-2303,02/18/2019,,,Boston,Suffolk,Massachusetts,Male,White / Caucasian,02/26/2025
UP53946,ME/C Case 2018-15103,12/01/2018,,,Provincetown,Barnstable,Massachusetts,Male,Uncertain,04/04/2025
UP53220,ME/C Case 2018-11505,09/05/2018,,,East Boston,Suffolk,Massachusetts,Male,White / Caucasian,01/16/2025
UP17290,ME/C Case 2017-15324,11/30/2017,18,99,Sutton,Worcester,Massachusetts,Female,Uncertain,08/30/2024
UP16134,ME/C Case 2016-13301,10/24/2016,66,66,Boston,Suffolk,Massachusetts,Male,White / Caucasian,01/16/2025
UP15715,ME/C Case 2016-9025,07/20/2016,60,65,Boston,Suffolk,Massachusetts,Male,"White / Caucasian, Hispanic / Latino",02/13/2025
UP15471,ME/C Case 2016-8479,07/07/2016,26,52,Everett,Middlesex,Massachusetts,Female,Uncertain,07/21/2025
UP15794,ME/C Case 2016-6970,06/02/2016,60,62,Haverhill,Essex,Massachusetts,Male,White / Caucasian,01/16/2025
UP15890,ME/C Case 2016-5634,05/02/2016,55,60,Everett,Middlesex,Massachusetts,Male,White / Caucasian,01/16/2025
UP15058,ME/C Case 2016-5643,05/02/2016,14,99,Orleans,Barnstable,Massachusetts,Male,Uncertain,04/04/2025
UP15888,ME/C Case 2016-3305,03/12/2016,55,60,Lowell,Middlesex,Massachusetts,Male,White / Caucasian,01/16/2025
UP14893,ME/C Case 2016-3202,03/10/2016,45,70,Boston,Suffolk,Massachusetts,Male,White / Caucasian,01/16/2025
UP14656,ME/C Case 2015-14033,11/13/2015,30,60,Chelsea,Suffolk,Massachusetts,Male,"White / Caucasian, Hispanic / Latino",01/16/2025
UP13953,ME/C Case 2015-5666,05/01/2015,25,53,Fitchburg,Worcester,Massachusetts,Female,White / Caucasian,06/25/2025
UP14514,ME/C Case 2015-5445,04/26/2015,60,70,South Boston,Suffolk,Massachusetts,Male,White / Caucasian,01/16/2025
UP13889,ME/C Case *2015-4280,04/01/2015,76,78,Boston,Suffolk,Massachusetts,Female,Black / African American,01/16/2025
UP13888,ME/C Case 2015-4279,04/01/2015,71,72,Boston,Suffolk,Massachusetts,Female,Black / African American,01/16/2025
UP13887,ME/C Case 2015-3515,03/14/2015,70,71,Holyoke,Hampden,Massachusetts,Female,White / Caucasian,01/16/2025
UP13315,ME/C Case 2014-16034,12/13/2014,27,66,Newbury,Essex,Massachusetts,Male,Uncertain,09/25/2024
UP12764,ME/C Case 2014-8305,06/17/2014,40,50,Boston,Suffolk,Massachusetts,Male,Hispanic / Latino,01/16/2025
UP12568,ME/C Case 2014-7706,06/04/2014,,,Sandwich,Barnstable,Massachusetts,Male,Black / African American,07/23/2025
UP12963,ME/C Case 2014-7418,05/30/2014,,,Boston,Suffolk,Massachusetts,Male,Black / African American,01/16/2025
UP12690,ME/C Case 2014-6829,05/17/2014,18,99,,Bristol,Massachusetts,Male,Hispanic / Latino,09/29/2025
UP11783,ME/C Case 2013-12615,09/27/2013,65,65,Dorchester,Suffolk,Massachusetts,Female,White / Caucasian,10/21/2024
UP11551,ME/C Case 2013-8681,07/03/2013,75,75,Medford,Middlesex,Massachusetts,Male,White / Caucasian,01/16/2025
UP11255,ME/C Case 2013-4571,04/02/2013,,,Newburyport,Essex,Massachusetts,Male,Uncertain,02/12/2024
UP14203,ME/C Case 2013-56,01/01/2013,69,71,Clinton,Worcester,Massachusetts,Female,White / Caucasian,01/16/2025
UP10899,ME/C Case 2012-15791,12/26/2012,16,99,Provincetown,Barnstable,Massachusetts,Male,Uncertain,04/04/2025
UP14206,ME/C Case 2012-15490,12/20/2012,82,84,Brookline,Norfolk,Massachusetts,Female,White / Caucasian,01/16/2025
UP14207,ME/C Case 2012-9164,07/30/2012,71,73,Cambridge,Middlesex,Massachusetts,Male,Black / African American,01/16/2025
UP14205,ME/C Case 2012-7965,07/02/2012,50,52,Worcester,Worcester,Massachusetts,Male,"White / Caucasian, Hispanic / Latino",01/16/2025
