"﻿""Case""",ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP143200,ME/C Case 25-02253,04/22/2025,,,Kansas City,Jackson,Missouri,Unsure,Uncertain,05/15/2025
UP135237,ME/C Case 24-04145,08/01/2024,,,Kansas City,Jackson,Missouri,Male,"White / Caucasian, Hispanic / Latino, Other, Uncertain",12/24/2024
UP122608,ME/C Case CITY-2024-0803,04/06/2024,25,45,St. Louis,St. Louis,Missouri,Male,Uncertain,10/02/2024
UP150652,ME/C Case A24-074,02/10/2024,,,Deerfield,Vernon,Missouri,Male,White / Caucasian,09/25/2025
UP113744,ME/C Case 2023-01611SD,11/10/2023,,,Hermann,Warren,Missouri,Male,Uncertain,01/02/2024
UP111736,ME/C Case CITY-2023-2340,10/14/2023,33,49,St. Louis,St. Louis,Missouri,Female,"White / Caucasian, Black / African American",11/19/2025
UP113520,ME/C Case 2023-01400SD,10/04/2023,,,Warrenton,Warren,Missouri,Male,Uncertain,02/28/2024
UP103228,ME/C Case KC23-02-297,02/28/2023,50,65,Kearney,Clay,Missouri,Male,White / Caucasian,05/01/2025
UP102197,ME/C Case 23-00530,01/25/2023,,,Kansas City,Jackson,Missouri,Male,"White / Caucasian, Hispanic / Latino, Asian, Other",04/07/2023
UP123581,ME/C Case L22-10-175,10/18/2022,50,65,Harrisonville,Cass,Missouri,Male,White / Caucasian,06/20/2024
UP97990,ME/C Case 94-22-8,08/14/2022,20,40,Ridgedale,Taney,Missouri,Male,Other,02/21/2024
UP92925,ME/C Case 22-00254,04/29/2022,,,Miami,Saline,Missouri,Female,Uncertain,02/14/2025
UP101737,ME/C Case L22-04-085,04/10/2022,45,75,Gower,Clinton,Missouri,Male,White / Caucasian,06/30/2025
UP90267,ME/C Case FA2022-01,01/31/2022,25,45,,Ste. Genevieve,Missouri,Male,Uncertain,05/11/2022
UP89479,ME/C Case 2021-9870,12/14/2021,35,55,Saint John,St. Louis,Missouri,Male,Hispanic / Latino,10/28/2024
UP88378,ME/C Case 2021-9371,11/27/2021,18,99,St. Louis,St. Louis,Missouri,Male,White / Caucasian,10/23/2024
UP87271,ME/C Case 21-04212,07/26/2021,30,70,Kansas City,Jackson,Missouri,Male,Uncertain,01/07/2022
UP88124,ME/C Case 21-03334,06/10/2021,,,Kansas City,Jackson,Missouri,Unsure,Uncertain,02/08/2024
UP82858,ME/C Case 21-01320,03/02/2021,40,70,Kansas City,Jackson,Missouri,Male,Uncertain,05/03/2024
UP70471,ME/C Case CITY-2020-1396,06/01/2020,36,50,St. Louis,St. Louis,Missouri,Male,Uncertain,07/25/2025
UP60144,ME/C Case CITY-2019-1645,07/28/2019,,,St. Louis,St. Louis,Missouri,Male,White / Caucasian,01/21/2022
UP57928,ME/C Case 19-9537,05/28/2019,,,Tebbetts,Callaway,Missouri,Male,Uncertain,06/12/2019
UP60351,ME/C Case 19-01662,03/12/2019,30,45,Pleasant Hill,Cass,Missouri,Female,Black / African American,05/23/2025
UP16964,ME/C Case CITY-2017-1553,07/02/2017,54,64,St. Louis,St. Louis,Missouri,Male,Black / African American,09/27/2024
UP17448,ME/C Case 2017-2873,04/15/2017,,,Saint Louis,St. Louis,Missouri,Female,Uncertain,05/04/2021
UP17422,ME/C Case ME-17-059,02/13/2017,,,,Boone,Missouri,Unsure,Uncertain,09/03/2024
UP108495,ME/C Case 22-7567,01/01/2017,,,Kansas City,Jackson,Missouri,Male,"White / Caucasian, Uncertain",09/18/2023
UP16092,ME/C Case CITY-2016-2483*,11/13/2016,,,St. Louis,St. Louis,Missouri,Female,Uncertain,06/19/2025
UP142788,ME/C Case FA2015-4,11/07/2015,,,,Cape Girardeau,Missouri,Unsure,Uncertain,06/04/2025
UP113709,ME/C Case FA-2015-3,10/07/2015,,,,Cape Girardeau,Missouri,Male,White / Caucasian,01/02/2024
UP13130,ME/C Case 2014-7421,11/14/2014,,,,St. Louis,Missouri,Male,Uncertain,09/04/2024
UP12395,ME/C Case 2014-2281,04/02/2014,18,23,Warrenton,Warren,Missouri,Female,Uncertain,09/04/2024
UP12360,ME/C Case 2014-2123,03/21/2014,,,Elsberry,Lincoln,Missouri,Male,Uncertain,09/04/2024
UP12419,ME/C Case 13-02215,12/04/2013,55,55,Kansas City,Jackson,Missouri,Female,White / Caucasian,11/24/2025
UP11725,ME/C Case 1310-10614,10/26/2013,8,13,Dixon,Pulaski,Missouri,Unsure,Uncertain,09/04/2024
UP12708,ME/C Case 13-507,09/15/2013,39,40,,Marion,Missouri,Female,Hispanic / Latino,09/04/2024
UP11507,ME/C Case 13-01412,08/05/2013,35,55,Kansas City,Clay,Missouri,Male,White / Caucasian,09/04/2024
UP75605,ME/C Case C202010280000A,04/01/2013,12,17,Cape Girardeau,Cape Girardeau,Missouri,Unsure,Uncertain,03/03/2025
UP10458,ME/C Case STCH-2012-0963 / Morgue #2012-4590,07/19/2012,40,99,St. Charles,St. Charles,Missouri,Unsure,Uncertain,09/04/2024
UP9851,ME/C Case 12-00122,01/19/2012,30,60,,Platte,Missouri,Male,Black / African American,09/04/2024
UP9798,ME/C Case 2011-7494,10/28/2011,25,30,Eureka,St. Louis,Missouri,Female,Uncertain,09/04/2024
UP9552,ME/C Case 2011-6577,10/18/2011,18,99,St. Louis,St. Louis,Missouri,Unsure,Uncertain,09/04/2024
UP12246,ME/C Case 2011-6528,10/17/2011,25,60,Berkeley,St. Louis,Missouri,Male,White / Caucasian,09/04/2024
UP12149,ME/C Case 2011-3669,06/08/2011,40,40,Saint Louis,St. Louis,Missouri,Male,Uncertain,09/04/2024
UP110544,ME/C Case 11-00577,04/07/2011,40,70,Kansas City,Jackson,Missouri,Male,White / Caucasian,05/06/2024
UP8860,ME/C Case 10-02192,12/27/2010,50,50,Kansas City,Jackson,Missouri,Male,Black / African American,09/04/2024
UP8139,ME/C Case OC10-1262,11/06/2010,18,99,,Oregon,Missouri,Unsure,Uncertain,09/04/2024
UP6125,ME/C Case 2009-1154,06/15/2009,25,50,St. Louis City,St. Louis,Missouri,Male,White / Caucasian,07/11/2025
UP146106,ME/C Case 2025-4558,05/20/2009,,,Portageville,New Madrid,Missouri,Male,White / Caucasian,07/17/2025
